month,avg_cost
2014-01-01,13.69207012
2014-02-01,13.85818413
2014-03-01,13.96935736
2014-04-01,14.32070203
2014-05-01,14.99535209
2014-06-01,14.96480783
2014-07-01,14.82456992
2014-08-01,14.8918243
2014-09-01,14.92832035
2014-10-01,14.67322226
2014-11-01,14.43829601
2014-12-01,14.37035642
2015-01-01,14.78040152
2015-02-01,14.49002778
2015-03-01,14.57680242
2015-04-01,14.81461731
2015-05-01,15.25010636
2015-06-01,14.95857163
2015-07-01,14.90814839
2015-08-01,14.93121796
2015-09-01,15.03214575
2015-10-01,14.87995777
2015-11-01,14.69542598
2015-12-01,14.74421645
2016-01-01,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,14.99490162
2016-08-01,14.85382903
2016-09-01,14.89725409
2016-10-01,14.60836213
2016-11-01,14.27491941
2016-12-01,13.99901695